time,obs_value,Sex,Education (Aggregate levels),Education (ISCED-11),Marital status (Aggregate),Marital status (Detailed)
2017,7120.241, Total, Total,, Total,
2017,3199.889, Total, Total,, Single / Widowed / Divorced,
2017,3912.46, Total, Total,, Married / Union / Cohabiting,
2017,7.892, Total, Total,, Not elsewhere classified,
2017,253.098, Total, Less than basic,, Total,
2017,135.58, Total, Less than basic,, Single / Widowed / Divorced,
2017,116.99, Total, Less than basic,, Married / Union / Cohabiting,
2017,, Total, Less than basic,, Not elsewhere classified,
2017,3394.607, Total, Basic,, Total,
2017,1437.071, Total, Basic,, Single / Widowed / Divorced,
2017,1954.688, Total, Basic,, Married / Union / Cohabiting,
2017,2.848, Total, Basic,, Not elsewhere classified,
2017,2228.442, Total, Intermediate,, Total,
2017,979.856, Total, Intermediate,, Single / Widowed / Divorced,
2017,1247.286, Total, Intermediate,, Married / Union / Cohabiting,
2017,, Total, Intermediate,, Not elsewhere classified,
2017,1232.479, Total, Advanced,, Total,
2017,643.004, Total, Advanced,, Single / Widowed / Divorced,
2017,588.594, Total, Advanced,, Married / Union / Cohabiting,
2017,, Total, Advanced,, Not elsewhere classified,
2017,11.615, Total, Level not stated,, Total,
2017,4.378, Total, Level not stated,, Single / Widowed / Divorced,
2017,4.902, Total, Level not stated,, Married / Union / Cohabiting,
2017,2.335, Total, Level not stated,, Not elsewhere classified,
2017,4535.43, Male, Total,, Total,
2017,1916.73, Male, Total,, Single / Widowed / Divorced,
2017,2612.216, Male, Total,, Married / Union / Cohabiting,
2017,6.484, Male, Total,, Not elsewhere classified,
2017,182.751, Male, Less than basic,, Total,
2017,85.688, Male, Less than basic,, Single / Widowed / Divorced,
2017,96.812, Male, Less than basic,, Married / Union / Cohabiting,
2017,, Male, Less than basic,, Not elsewhere classified,
2017,2323.544, Male, Basic,, Total,
2017,920.51, Male, Basic,, Single / Widowed / Divorced,
2017,1400.385, Male, Basic,, Married / Union / Cohabiting,
2017,2.649, Male, Basic,, Not elsewhere classified,
2017,1362.939, Male, Intermediate,, Total,
2017,589.637, Male, Intermediate,, Single / Widowed / Divorced,
2017,772.934, Male, Intermediate,, Married / Union / Cohabiting,
2017,, Male, Intermediate,, Not elsewhere classified,
2017,658.27, Male, Advanced,, Total,
2017,317.453, Male, Advanced,, Single / Widowed / Divorced,
2017,339.936, Male, Advanced,, Married / Union / Cohabiting,
2017,, Male, Advanced,, Not elsewhere classified,
2017,7.926, Male, Level not stated,, Total,
2017,3.442, Male, Level not stated,, Single / Widowed / Divorced,
2017,2.149, Male, Level not stated,, Married / Union / Cohabiting,
2017,2.335, Male, Level not stated,, Not elsewhere classified,
2017,2584.811, Female, Total,, Total,
2017,1283.159, Female, Total,, Single / Widowed / Divorced,
2017,1300.244, Female, Total,, Married / Union / Cohabiting,
2017,, Female, Total,, Not elsewhere classified,
2017,70.347, Female, Less than basic,, Total,
2017,49.892, Female, Less than basic,, Single / Widowed / Divorced,
2017,20.178, Female, Less than basic,, Married / Union / Cohabiting,
2017,, Female, Less than basic,, Not elsewhere classified,
2017,1071.063, Female, Basic,, Total,
2017,516.561, Female, Basic,, Single / Widowed / Divorced,
2017,554.303, Female, Basic,, Married / Union / Cohabiting,
2017,, Female, Basic,, Not elsewhere classified,
2017,865.503, Female, Intermediate,, Total,
2017,390.219, Female, Intermediate,, Single / Widowed / Divorced,
2017,474.352, Female, Intermediate,, Married / Union / Cohabiting,
2017,, Female, Intermediate,, Not elsewhere classified,
2017,574.209, Female, Advanced,, Total,
2017,325.551, Female, Advanced,, Single / Widowed / Divorced,
2017,248.658, Female, Advanced,, Married / Union / Cohabiting,
2017,, Female, Advanced,, Not elsewhere classified,
2017,3.689, Female, Level not stated,, Total,
2017,, Female, Level not stated,, Single / Widowed / Divorced,
